ID,Business Name,Slug,Status,Profile Status,Claimed,Featured,Confidence Score,Main Category,Secondary Categories,Suburb,City,State,Postcode,Service Radius (km),Services Nationwide,Services Statewide,All States,Description,Phone,Email,Website,ABN,Year Established,Google Business URL,Service Tags,Defect Tags,Repair System Tags,Capability Tags,Licences,Created At
2756,ACG Air Conditioning,acg-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Canterbury,,NSW,2193,,No,No,NSW,,(02) 8021 3735,,http://airconditioningguys.com.au/,,,,,,,,,29/05/2026
672,ACSM Air Conditioning,acsm-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,South Yarra,,VIC,3141,,No,No,VIC,,(03) 9853 2703,info@acsm.net.au,http://www.acsm.net.au/,,,,,,,,,29/05/2026
4634,Active Air Rentals,active-air-rentals,published,basic,No,No,60,Air Conditioning Contractors,,Eagle Farm,,QLD,4009,,No,No,QLD,,1800 505 047,,,,,,,,,,,29/05/2026
6051,Adelaide Air Conditioning Installations,adelaide-air-conditioning-installations,published,basic,No,No,60,Air Conditioning Contractors,,Campbelltown,,SA,5074,,No,No,SA,,0421 334 043,,,,,,,,,,,29/05/2026
6041,"Adelaide Metropolitan Refrigeration, Airconditioning & Whitegoods",adelaide-metropolitan-refrigeration-airconditioning-and-whitegoods,published,basic,No,No,60,Air Conditioning Contractors,,Thebarton,,SA,5031,,No,No,SA,,13 1750,,https://www.obrien.com.au/members/electrical-energy-solutions-thebarton,,,,,,,,,29/05/2026
676,Advance Heating & Cooling,advance-heating-and-cooling,published,basic,No,No,60,Air Conditioning Contractors,,Braybrook,,VIC,3019,,No,No,VIC,,(03) 9310 1990,enquiries@advancehc.com.au,http://www.advancehc.com.au/,,,,,,,,,29/05/2026
4641,Advanced Air Conditioning Pty Ltd,advanced-air-conditioning-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Northgate,,QLD,4013,,No,No,QLD,"From Business: For the last 35 years, Advanced Air Conditioning has been designing and installing Heating, Ventilation and Air Conditioning (HVAC) solutions to large and small…",(07) 3256 6033,,http://www.advair.com.au/,,,,,,,,,29/05/2026
2746,advanced installations,advanced-installations,published,basic,No,No,60,Air Conditioning Contractors,,Pyrmont,,NSW,2009,,No,No,NSW,,(02) 9571 4128,,,,,,,,,,,29/05/2026
4644,Aerospace Air,aerospace-air,published,basic,No,No,60,Air Conditioning Contractors,,Arana Hills,,QLD,4054,,No,No,QLD,,(07) 3351 6050,,,,,,,,,,,29/05/2026
964,AH Airconditioning & Electrical,ah-airconditioning-and-electrical,published,basic,No,No,60,Air Conditioning Contractors,,Morningside,,QLD,4170,,No,No,QLD,"From Business: Choosing the right air conditioner can be confusing, so we're here to help you through the decision-making process. We prefer to install Daikin air conditioners…",0411 599 905,wordpress@securenerds.com,http://www.ahaircon.com.au/,,,,,,,,,29/05/2026
366,Air Comfort Co of Australia Pty Ltd,air-comfort-co-of-australia-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Crows Nest,,NSW,2065,,No,No,NSW,"From Business: Trust Us to Find the Right Solution We have skilled and licensed technicians to repair, install and service every air conditioning and heating system for…",(02) 9439 3346,sales@aircomfort.com.au,https://www.aircomfort.com.au/,,,,,,,,,29/05/2026
1548,Air Conditioning & Mechanical Contractors Association of Tasmania Limited,air-conditioning-and-mechanical-contractors-association-of-tasmania-limited,published,basic,No,No,60,Air Conditioning Contractors,,Hobart,,TAS,7000,,No,No,TAS,,(03) 6231 9556,admin@amca.com.au,http://www.amca.com.au/,,,,,,,,,29/05/2026
2742,Air Conditioning Sydney Experts,air-conditioning-sydney-experts,published,basic,No,No,60,Air Conditioning Contractors,,Sydney,,NSW,2000,,No,No,NSW,,(02) 8766 0558,,,,,,,,,,,29/05/2026
2743,Aircon Installation Sydney,aircon-installation-sydney,published,basic,No,No,60,Air Conditioning Contractors,,Sydney,,NSW,2000,,No,No,NSW,,(02) 9059 1947,,http://airconinstallationsydney.com.au/,,,,,,,,,29/05/2026
669,Airepair Air Conditioning Services Pty Ltd,airepair-air-conditioning-services-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Melbourne,,VIC,3000,,No,No,VIC,"From Business: Airepair Air Conditioning Services Pty Ltd is an air conditioning and refrigeration company, which currently employs some 45 employees, including commissioning…",(03) 9238 6000,service@airepair.com.au,http://www.airepair.com.au/,,,,,,,,,29/05/2026
3739,Airmax Solutions,airmax-solutions,published,basic,No,No,60,Air Conditioning Contractors,,Preston,,VIC,3072,,No,No,VIC,,0421 386 878,,,,,,,,,,,29/05/2026
1381,All Seasons Air Conditioning,all-seasons-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Glynde,,SA,5070,,No,No,SA,From Business: All Seasons Air Conditioning is a well established local SA company delivering quality air condtiioning solutions to both residential & small business customers,(08) 8337 1624,sales@allseasonsair.com.au,http://www.allseasonsair.com.au/,,,,,,,,,29/05/2026
2761,Altus airconditioning,altus-airconditioning,published,basic,No,No,60,Air Conditioning Contractors,,Strathfield South,,NSW,2136,,No,No,NSW,,0423 087 656,,,,,,,,,,,29/05/2026
367,Apex Air Conditioning,apex-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,St Peters,,NSW,2044,,No,No,NSW,"From Business: Apex Air conditioning has been established for over ten years and has built a rapport with clients,based on quality service & competitive pricing.",(02) 9559 6108,info@apexaircon.com.au,http://www.apexaircon.com.au/,,,,,,,,,29/05/2026
4632,Aria Air & Electrical,aria-air-and-electrical,published,basic,No,No,60,Air Conditioning Contractors,,Norman Park,,QLD,4170,,No,No,QLD,,0401 696 888,,http://www.ariaair.com.au/,,,,,,,,,29/05/2026
3743,ARTOFCOOL PTY LTD,artofcool-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Braybrook,,VIC,3019,,No,No,VIC,,0422 256 797,,,,,,,,,,,29/05/2026
6043,Auscool Airconditioning Pty Ltd,auscool-airconditioning-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,West Hindmarsh,,SA,5007,,No,No,SA,From Business: Turn to Auscool for a reliable and efficient state-of-the-art air conditioning system that meets your needs and your budget. Auscool Airconditioning is a South…,0418 849 066,,http://www.auscoolair.com.au/,,,,,,,,,29/05/2026
6565,Betair Refrigeration & Airconditioning,betair-refrigeration-and-airconditioning,published,basic,No,No,60,Air Conditioning Contractors,,Glenorchy,,TAS,7010,,No,No,TAS,,(03) 6224 7247,,,,,,,,,,,29/05/2026
968,BG Electrical & Air Con,bg-electrical-and-air-con,published,basic,No,No,60,Air Conditioning Contractors,,Seventeen Mile Rocks,,QLD,4073,,No,No,QLD,,0434 288 108,%20info@bradgallelectrical.com.au,https://bradgallelectrical.com.au/,,,,,,,,,29/05/2026
1379,Big Fan Airconditioning,big-fan-airconditioning,published,basic,No,No,60,Air Conditioning Contractors,,Hilton,,SA,5033,,No,No,SA,,(08) 8150 9992,cyis1000@gmail.com,http://bigfanair.com.au/,,,,,,,,,29/05/2026
678,Blain-Air,blain-air,published,basic,No,No,60,Air Conditioning Contractors,,Doncaster,,VIC,3108,,No,No,VIC,From Business: Blain-air Heating and Air conditioning is open for business for those that want a modern and versatile system. Having been established in 1985 and enjoying 40…,(03) 9852 1550,blainair@bigpond.com,https://www.blainair.com.au/,,,,,,,,,29/05/2026
675,Blue Star Refrigeration,blue-star-refrigeration,published,basic,No,No,60,Air Conditioning Contractors,,Preston,,VIC,3072,,No,No,VIC,,0433 397 567,info@bluestarrefrigeration.com.au,http://www.bluestarrefrigeration.com.au/,,,,,,,,,29/05/2026
6042,Brighton Air Conditioning,brighton-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Toorak Gardens,,SA,5065,,No,No,SA,,0432 373 794,,,,,,,,,,,29/05/2026
4631,Brisbane Air Conditioning & Installation,brisbane-air-conditioning-and-installation,published,basic,No,No,60,Air Conditioning Contractors,,Bulimba,,QLD,4171,,No,No,QLD,,0411 882 406,,,,,,,,,,,29/05/2026
3730,Brivheat,brivheat,published,basic,No,No,60,Air Conditioning Contractors,,Melbourne,,VIC,3000,,No,No,VIC,,1300 274 843,,,,,,,,,,,29/05/2026
6045,Butterfields Services (SA) Pty Ltd,butterfields-services-sa-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Underdale,,SA,5032,,No,No,SA,From Business: Air Conditioning & Mechanical Services,(08) 8443 2600,,http://www.butterfields.com.au/,,,,,,,,,29/05/2026
4638,Cair Conditioning Pty Ltd,cair-conditioning-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Rocklea,,QLD,4106,,No,No,QLD,From Business: ARCTick#AU04279,(07) 3875 1511,,,,,,,,,,,29/05/2026
4643,Carseldine Air Conditioning,carseldine-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Everton Hills,,QLD,4053,,No,No,QLD,"From Business: Carseldine Air Conditioning Pty Ltd (BSA 1015522 & ARC AU02272) was established in 1998 to provide quality air conditioning solutions, service and maintenance,…",(07) 3855 5566,,https://www.carseldineair.com.au/,,,,,,,,,29/05/2026
363,CB Climate Control,cb-climate-control,published,basic,No,No,60,Air Conditioning Contractors,,Sydney,,NSW,2000,,No,No,NSW,,0431 987 613,info@cbclimate.com,https://cbclimatecontrol.com.au/,,,,,,,,,29/05/2026
670,ComfyFirst,comfyfirst,published,basic,No,No,60,Air Conditioning Contractors,,Melbourne,,VIC,3004,,No,No,VIC,,1300 556 350,blackhole@aumanaged.com,http://comfyfirst.com.au/,,,,,,,,,29/05/2026
3738,Compare Air Conditioning,compare-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Caulfield North,,VIC,3161,,No,No,VIC,,1300 944 133,,https://www.compareairconditioning.com.au/,,,,,,,,,29/05/2026
4646,Cool Air Qld,cool-air-qld,published,basic,No,No,60,Air Conditioning Contractors,,Archerfield,,QLD,4108,,No,No,QLD,,0477 002 332,,,,,,,,,,,29/05/2026
6036,Cool Tech Air Conditioning Solutions,cool-tech-air-conditioning-solutions,published,basic,No,No,60,Air Conditioning Contractors,,Adelaide,,SA,5000,,No,No,SA,,0418 991 047,,,,,,,,,,,29/05/2026
3731,COOLAIR Split Systems,coolair-split-systems,published,basic,No,No,60,Air Conditioning Contractors,,Melbourne,,VIC,3000,,No,No,VIC,,0412 877 119,,,,,,,,,,,29/05/2026
3737,Coolro Airconditioning Services,coolro-airconditioning-services,published,basic,No,No,60,Air Conditioning Contractors,,Malvern,,VIC,3144,,No,No,VIC,,1300 130 992,,,,,,,,,,,29/05/2026
3744,Coolro Airconditioning Services Pty Ltd,coolro-airconditioning-services-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Bentleigh East,,VIC,3165,,No,No,VIC,,1300 130 992,,,,,,,,,,,29/05/2026
6039,Cyber Air Conditioning,cyber-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Adelaide,,SA,5000,,No,No,SA,"From Business: Across many of the major cities and metropolitan suburbs of Australia, we provide 24/7 electrical services that take in installation, maintenance and repairs.…",1300 238 352,,,,,,,,,,,29/05/2026
2757,Delmar Services,delmar-services,published,basic,No,No,60,Air Conditioning Contractors,,Gladesville,,NSW,2111,,No,No,NSW,,(02) 9807 8400,,,,,,,,,,,29/05/2026
963,Dewpoint Air,dewpoint-air,published,basic,No,No,60,Air Conditioning Contractors,,Grange,,QLD,4051,,No,No,QLD,,(07) 3352 4446,reception@dewpointgroup.com.au,http://www.dewpointair.com.au/,,,,,,,,,29/05/2026
4642,Dingo Air,dingo-air,published,basic,No,No,60,Air Conditioning Contractors,,Salisbury,,QLD,4107,,No,No,QLD,,1300 887 558,,,,,,,,,,,29/05/2026
965,Ellis Air Conitioning QLD Pty Ltd,ellis-air-conitioning-qld-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Salisbury,,QLD,4107,,No,No,QLD,,(07) 3277 7935,ellis@ellisair.com.au,http://www.ellisair.com.au/,,,,,,,,,29/05/2026
6037,Emergency Air Conditioning Adelaide - 24 Hour Service By Quick Fix,emergency-air-conditioning-adelaide-24-hour-service-by-quick-fix,published,basic,No,No,60,Air Conditioning Contractors,,Adelaide,,SA,5000,,No,No,SA,,0421 968 551,,http://www.quickfixelectrical.com.au/home-air-conditioning-adelaide-sa/emergency-air-conditioning-24-hours-adelaide,,,,,,,,,29/05/2026
6566,Empowerlec Pty. Ltd.,empowerlec-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Montrose,,TAS,7010,,No,No,TAS,,(03) 6271 3065,,,,,,,,,,,29/05/2026
3735,Energy Efficient Plumbing,energy-efficient-plumbing,published,basic,No,No,60,Air Conditioning Contractors,,Elwood,,VIC,3184,,No,No,VIC,,0419 132 282,,,,,,,,,,,29/05/2026
1382,Energy Loop,energy-loop,published,basic,No,No,60,Air Conditioning Contractors,,Greenacres,,SA,5086,,No,No,SA,,1800 900 909,info@energyloop.com.au,https://www.energyloop.com.au/,,,,,,,,,29/05/2026
674,ENERGYECOHUB,energyecohub,published,basic,No,No,60,Air Conditioning Contractors,,Caulfield North,,VIC,3161,,No,No,VIC,,0421 102 334,info@energyecohub.com.au,http://energyecohub.com.au/,,,,,,,,,29/05/2026
2751,Evolution Air Conditioning,evolution-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Eastlakes,,NSW,2018,,No,No,NSW,,0415 386 247,,,,,,,,,,,29/05/2026
3742,Excel Mechanical Services,excel-mechanical-services,published,basic,No,No,60,Air Conditioning Contractors,,Tottenham,,VIC,3012,,No,No,VIC,,(03) 9315 2382,,,,,,,,,,,29/05/2026
4640,Express Air Con Cleaning,express-air-con-cleaning,published,basic,No,No,60,Air Conditioning Contractors,,Chermside,,QLD,4032,,No,No,QLD,,0425 328 265,,,,,,,,,,,29/05/2026
3741,F & M Commercial Maintenance Pty Ltd,f-and-m-commercial-maintenance-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Preston,,VIC,3072,,No,No,VIC,,(03) 9387 9933,,http://www.fmcm.com.au/,,,,,,,,,29/05/2026
6034,FMS Commercial,fms-commercial,published,basic,No,No,60,Air Conditioning Contractors,,Adelaide,,SA,5000,,No,No,SA,,(08) 7201 7000,,,,,,,,,,,29/05/2026
3746,Freeze Air Contracting,freeze-air-contracting,published,basic,No,No,60,Air Conditioning Contractors,,Doncaster,,VIC,3108,,No,No,VIC,,0412 151 147,,,,,,,,,,,29/05/2026
3734,Frigrite Air Conditioning,frigrite-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,St Kilda,,VIC,3182,,No,No,VIC,,(03) 9525 4755,,,,,,,,,,,29/05/2026
2762,Glory Air Conditioning Pty Ltd,glory-air-conditioning-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,West Ryde,,NSW,2114,,No,No,NSW,,0425 291 372,,,,,,,,,,,29/05/2026
364,Great Air Service And Property,great-air-service-and-property,published,basic,No,No,60,Air Conditioning Contractors,,Sydney,,NSW,2000,,No,No,NSW,,0410 491 664,bakhos@greatair.com.au,http://greatair.com.au/,,,,,,,,,29/05/2026
2754,HDHD Air Conditioning Pty Ltd,hdhd-air-conditioning-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Chatswood,,NSW,2067,,No,No,NSW,,0499 882 888,,,,,,,,,,,29/05/2026
4645,Hemmant Refrigeration and Air Conditioning,hemmant-refrigeration-and-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Hemmant,,QLD,4174,,No,No,QLD,,0428 753 840,,,,,,,,,,,29/05/2026
971,Hiflow Industries Pty Ltd,hiflow-industries-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Geebung,,QLD,4034,,No,No,QLD,,1300 009 551,service@hiflow.com.au,http://www.hiflow.com.au/,,,,,,,,,29/05/2026
368,Hills Air Conditioning,hills-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Lane Cove North,,NSW,2066,,No,No,NSW,,0408 004 987,info@hillsair.com.au,https://www.hillsair.com.au/,,,,,,,,,29/05/2026
6568,HydroKleen Tasmania,hydrokleen-tasmania,published,basic,No,No,60,Air Conditioning Contractors,,Lauderdale,,TAS,7021,,No,No,TAS,,(07) 5574 4908,,http://www.hydrokleen.com.au/,,,,,,,,,29/05/2026
370,Hytec Cooling Pty Ltd,hytec-cooling-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Banksmeadow,,NSW,2019,,No,No,NSW,,0422 790 222,admin@hytec.info,http://hyteccooling.com.au/,,,,,,,,,29/05/2026
2755,Ice Cube Refrigeration & Air Conditioning,ice-cube-refrigeration-and-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Concord,,NSW,2137,,No,No,NSW,,(02) 8036 2404,,,,,,,,,,,29/05/2026
3740,icepeak pty ltd,icepeak-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Preston,,VIC,3072,,No,No,VIC,,(02) 8034 6342,,,,,,,,,,,29/05/2026
2750,Idealair Group Pty Ltd,idealair-group-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Alexandria,,NSW,2015,,No,No,NSW,,(02) 8073 3310,,https://idealairgroup.com.au/,,,,,,,,,29/05/2026
1550,Inphase Electrical Contracting,inphase-electrical-contracting,published,basic,No,No,60,Air Conditioning Contractors,,Lindisfarne,,TAS,7015,,No,No,TAS,"From Business: Based in Lindisfarne, Inphase Electrical Contracting delivers high-end electrical and climate-control solutions for homeowners and businesses across Hobart’s…",0409 488 856,inphase.electrical.tas@gmail.com,https://www.inphaseelectrical.com.au/,,,,,,,,,29/05/2026
3745,J Air Conditioning,j-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Bentleigh,,VIC,3204,,No,No,VIC,,0403 011 691,,,,,,,,,,,29/05/2026
2745,JC Air Conditioning Installation,jc-air-conditioning-installation,published,basic,No,No,60,Air Conditioning Contractors,,Surry Hills,,NSW,2010,,No,No,NSW,"From Business: JC Air Conditioning Installation is based in Sydney NSW, servicing the Eastern Suburbs and Inner West as one of Sydney's top Air Conditioning Contractors.",(02) 8599 4546,,,,,,,,,,,29/05/2026
1375,Ken Hall Air Conditioning,ken-hall-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Kent Town,,SA,5067,,No,No,SA,"From Business: Striving to provide Australia’s most respected and professional plumbing service, ensuring customer satisfaction daily. We began with Ken Hall’s passion for…",(08) 7428 7913,service@callken.com.au,https://www.kenhallplumbers.com.au/,,,,,,,,,29/05/2026
969,Lawson Air,lawson-air,published,basic,No,No,60,Air Conditioning Contractors,,Mansfield,,QLD,4122,,No,No,QLD,"From Business: At Lawson Air, we specialize in delivering high-quality air conditioning solutions for both commercial and industrial clients in Mackenzie. We focus on providing…",(07) 3219 1817,sales@lawsonair.com.au,http://www.lawsonair.com.au/,,,,,,,,,29/05/2026
970,LCM Air Conditioning,lcm-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Coopers Plains,,QLD,4108,,No,No,QLD,,1300 526 247,admin@lcmair.com.au,http://www.lcmair.com.au/,,,,,,,,,29/05/2026
6049,M&A Air Conditioning Installations,manda-air-conditioning-installations,published,basic,No,No,60,Air Conditioning Contractors,,Beverley,,SA,5009,,No,No,SA,,0416 143 877,,,,,,,,,,,29/05/2026
3733,Mac Air Conditioning Heating & Plumbing,mac-air-conditioning-heating-and-plumbing,published,basic,No,No,60,Air Conditioning Contractors,,Port Melbourne,,VIC,3207,,No,No,VIC,,0419 008 402,,,,,,,,,,,29/05/2026
2753,Maison Air Conditioning,maison-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Maroubra,,NSW,2035,,No,No,NSW,,0413 899 994,,,,,,,,,,,29/05/2026
4636,Mayo Solutions,mayo-solutions,published,basic,No,No,60,Air Conditioning Contractors,,Murarrie,,QLD,4172,,No,No,QLD,,0401 669 900,,http://www.mayos.com.au/,,,,,,,,,29/05/2026
6038,Metropolitan Air Conditioning,metropolitan-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Adelaide,,SA,5000,,No,No,SA,,1300 157 709,,,,,,,,,,,29/05/2026
4637,Mick Gordon Industries,mick-gordon-industries,published,basic,No,No,60,Air Conditioning Contractors,,Chermside West,,QLD,4032,,No,No,QLD,,0448 855 971,,,,,,,,,,,29/05/2026
6040,Morphett Airconditioning Pty Ltd,morphett-airconditioning-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Adelaide,,SA,5000,,No,No,SA,From Business: Morphett Air Adelaide is a family run and owned air conditioning business that has been providing air conditioning to South Australians since 1971. We pride…,(08) 8293 6532,,http://www.morphettair.com.au/,,,,,,,,,29/05/2026
2759,Northside Heating,northside-heating,published,basic,No,No,60,Air Conditioning Contractors,,Manly,,NSW,2095,,No,No,NSW,,(02) 9977 6736,,,,,,,,,,,29/05/2026
2752,OPTIMUM AIR SOLUTIONS,optimum-air-solutions,published,basic,No,No,60,Air Conditioning Contractors,,Abbotsford,,NSW,2046,,No,No,NSW,,0435 528 865,,,,,,,,,,,29/05/2026
2749,ORION Mechanical Services Pty,orion-mechanical-services-pty,published,basic,No,No,60,Air Conditioning Contractors,,Alexandria,,NSW,2015,,No,No,NSW,,(02) 9669 1404,,,,,,,,,,,29/05/2026
673,Oz Air Group Air Conditioning Melbourne,oz-air-group-air-conditioning-melbourne,published,basic,No,No,60,Air Conditioning Contractors,,Fairfield,,VIC,3078,,No,No,VIC,,1300 069 247,info@ozairgroup.com.au,https://ozairgroup.com.au/,,,,,,,,,29/05/2026
2747,OZ Air Tech,oz-air-tech,published,basic,No,No,60,Air Conditioning Contractors,,Edgecliff,,NSW,2027,,No,No,NSW,,0451 416 764,,,,,,,,,,,29/05/2026
2744,Potts Point Air Conditioning & Refrigeration,potts-point-air-conditioning-and-refrigeration,published,basic,No,No,60,Air Conditioning Contractors,,Potts Point,,NSW,2011,,No,No,NSW,,(02) 8677 0592,,,,,,,,,,,29/05/2026
1383,Powelec Electrical & Air Conditioning,powelec-electrical-and-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Edwardstown,,SA,5039,,No,No,SA,,(08) 7823 1707,sales@powelec.com.au,https://www.powelec.com.au/,,,,,,,,,29/05/2026
3732,Professional Heating & Air Conditioning Services,professional-heating-and-air-conditioning-services,published,basic,No,No,60,Air Conditioning Contractors,,Melbourne,,VIC,3000,,No,No,VIC,,1300 247 349,,,,,,,,,,,29/05/2026
6035,Raj & Son's Air Conditioning,raj-and-sons-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Adelaide,,SA,5000,,No,No,SA,,0423 913 956,,,,,,,,,,,29/05/2026
967,Regal Air-Conditioning Maintenance Pty Ltd,regal-air-conditioning-maintenance-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Coopers Plains,,QLD,4108,,No,No,QLD,From Business: Our technicians have Full Refrigeration and Air Conditioning Licences and are trained in-house after completing their apprenticeship with us. This allows us to…,(07) 3277 7207,info@regalair.com.au,http://www.regalair.com.au/,,,,,,,,,29/05/2026
371,Roma Aircon,roma-aircon,published,basic,No,No,60,Air Conditioning Contractors,,Strathfield,,NSW,2135,,No,No,NSW,,0449 969 305,roma.aircon@gmail.com,http://www.romaaircon.com.au/,,,,,,,,,29/05/2026
962,RPM Enterprises Australia,rpm-enterprises-australia,published,basic,No,No,60,Air Conditioning Contractors,,Windsor,,QLD,4030,,No,No,QLD,,0407 416 981,benn@rpmenterprises.com.au,http://www.rpmenterprises.com.au/,,,,,,,,,29/05/2026
2748,RPS Air Conditioning Services,rps-air-conditioning-services,published,basic,No,No,60,Air Conditioning Contractors,,Newtown,,NSW,2042,,No,No,NSW,From Business: We offer premium air conditioning services and industry leading property solutions across the entire Sydney metropolitan area.,(02) 8920 3620,,,,,,,,,,,29/05/2026
6048,SA Heating & Cooling,sa-heating-and-cooling,published,basic,No,No,60,Air Conditioning Contractors,,Findon,,SA,5023,,No,No,SA,,0418 842 020,,,,,,,,,,,29/05/2026
3747,Schaffert & Elliott Air-conditioning,schaffert-and-elliott-air-conditioning,published,basic,No,No,60,Air Conditioning Contractors,,Templestowe Lower,,VIC,3107,,No,No,VIC,,0418 338 423,,http://www.schaffertelliott.com/,,,,,,,,,29/05/2026
1377,Sharpe En3rgy Solutions,sharpe-en3rgy-solutions,published,basic,No,No,60,Air Conditioning Contractors,,Thebarton,,SA,5031,,No,No,SA,"From Business: Locally owned professional Solar, Battery, Electrical and Air Conditioning specialists. As a locally owned business, Sharpe En3rgy Solutions look after our…",(08) 8294 6333,webenquiries@en3rgy.au,https://en3rgy.au/,,,,,,,,,29/05/2026
2760,Skilful Star Airconditioning Pty Ltd,skilful-star-airconditioning-pty-ltd,published,basic,No,No,60,Air Conditioning Contractors,,Campsie,,NSW,2194,,No,No,NSW,,(02) 9718 9738,,,,,,,,,,,29/05/2026
966,SMA Trade Group,sma-trade-group,published,basic,No,No,60,Air Conditioning Contractors,,Everton Hills,,QLD,4053,,No,No,QLD,,(07) 3353 8724,eben@eyebytes.com,https://smatradegroup.com.au/,,,,,,,,,29/05/2026
