company_id,business_name,state,current_category,proposed_slug,proposed_category,confidence,reason
"7052","Andep Investment Consultancy","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Financial planning"
"14353","Anglican Community Fund","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Church community fund"
"3199","Aon Risk Solutions","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance broking risk management"
"14238","AppliedMotion Physiotherapy & Podiatry","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Physiotherapy and podiatry"
"7059","Approach Services","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Project change management training"
"12696","ARB 4x4 Accessories Hobart","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","4x4 automotive accessories"
"2902","Arc Training","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Training provider"
"7196","Archae-aus","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Archaeological heritage consultancy"
"6715","Armstrong's Insurance Brokers","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance brokers"
"5010","Arthur J. Gallagher","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance brokerage, not building"
"1284","Arya Auto Removals","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","auto wrecking / automotive"
"14356","ASeTTS - Association for Services to Torture and Trauma Survivors","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Trauma support services"
"14498","Ashdene ICT","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","ICT engineering integration"
"5755","Assent Financial Services","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Financial services"
"7045","Assetivity","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Asset maintenance reliability consulting"
"14348","Association of Mining & Exploration Companies Inc.","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Mining industry association"
"14267","Aston & Stone","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Workforce and human capital"
"14303","AUG Student Services - Perth","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Student advisory services"
"805","Aus Insurance Services Pty Ltd","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance services"
"2030","Aussie Colonial Inns","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","inns hospitality accommodation"
"2052","Aussie Shopping","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","shopping retail"
"513","Austbrokers ABS","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance brokers"
"1597","Austbrokers BGA","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance brokers"
"1081","Austcover Insurance","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance services"
"5758","Austgroup Insurance Brokers","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance brokers"
"15208","Australasian Corrosion Assoc","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Corrosion association membership body"
"14346","Australia Asia House","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Cultural community organisation"
"7154","Australian Arab Association","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Community non-profit association"
"1666","Australian Depreciation Services","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","tax depreciation services"
"14367","Australian Heritage Group Pty Ltd","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Heritage group consultancy"
"7166","Australian Hotels Association WA","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Hospitality industry body"
"14347","Australian Institute of Management WA","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Management training institute"
"14354","Australian Medical Association (WA) | AMA (WA)","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Medical association"
"5752","Australian Reliance","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Reliance, insurance/finance likely"
"15025","Australian Shotcrete Society","ACT","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Industry society not trade"
"14296","Australian Study and Visa Services (AusStudyVisa)","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Education and visa consultancy"
"1660","Australian Tax Depreciation Services","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","tax depreciation services"
"7360","Australian Tax Depreciation Services","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","tax depreciation services"
"14504","Australian Technical College Western Australia","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Technical college education"
"7034","Australian Visa and Migration Specialists","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Visa migration services"
"11482","Australian Water School","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Water industry training school"
"2696","Australian Writers' Guild","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Writers' guild media organization"
"5013","Ausure Insurance Brokers","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance brokers"
"10044","Auto Paint Protection Adelaide","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Vehicle ceramic coating detailing"
"15456","Auto Protective","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Auto protective, automotive"
"13185","Autobarn Darwin","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Autobarn car parts retail"
"13187","Autobarn Palmerston","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Autobarn car parts retail"
"8637","Autocare NT","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Autocare automotive service"
"6111","AVIDA Creative","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","design studio branding/websites"
"1591","Aviso Tas Insurance Brokers","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance brokers"
"14309","AXB Asset Management Consulting","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Water industry consulting"
"3828","Axiom International Trade","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","low","international trade, not building"
"7725","Ayur Health: Ayurveda Wellness Centre","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","ayurveda wellness clinic"
"14201","Back Solution Clinic","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Back pain clinic"
"14362","BCA Debt Collection","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Debt collection agency"
"6348","Be Covered Insurance Brokers Adelaide","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance brokers"
"14499","Beldon Satellite & Cable","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Satellite and cable services"
"14620","Bellerive Health Hub - Medical and Allied Health Centre","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Medical allied health centre"
"3191","BESPOKE INSURANCE GROUP","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance group"
"1475","Bfrank Insure-Insurance Advisernet","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance solutions"
"6915","BHT Group","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Resources sector firm"
"14371","Big Island Research","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Indigenous heritage research"
"7716","Biophilia Health","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","health wellness content"
"362","Bitlogic","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Managed IT services"
"4142","BJS Insurance Group","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance brokers"
"14378","Black Cockatoo Cultural Heritage Services","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Cultural heritage research services"
"7020","BLUE education & migration","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Education and migration"
"14293","Blue Tongue","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Technician recruitment firm"
"3716","Bluedot Information Technology PTY LTD","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","high","information technology company"
"9951","BMR Detailing","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Auto detailing"
"1661","BMT Tax Depreciation","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","tax depreciation services"
"7749","Body Stillness","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","health practitioners collective"
"7751","BodyTech - Matt Jensen","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","vague health/fitness services"
"14675","Boston Consulting Group","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Management consulting firm"
"7218","Brad Goode","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Anthropology archaeology consultancy"
"14403","BrightSide Mediation","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Mediation services"
"6854","Brisbane Livewell Clinic","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Wellness clinic healthcare"
"13175","BTC Parts & Accessories","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Auto parts and accessories"
"122","Budget Tax Depreciation","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Tax depreciation services"
"1074","Burns Law","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","legal services"
"1785","Burraga Copper Limited","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","copper mining company"
"11360","Bush Heritage Australia","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Conservation organisation"
"1080","Business Insurance Specialists Pty Ltd","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance specialists"
"4130","Calliden Group","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance group"
"5766","Calmarc Chemicals","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Chemicals, not building services"
"1126","Cambridge Management Services","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","document management services"
"859","Cambridge Management Services Pty Ltd","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Document management services"
"9809","Camera Electronic","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Camera retailer"
"14644","Canberra Consulting","ACT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","IT business consulting"
"7813","Canberra Soft Tissue Therapy","ACT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","soft tissue therapy"
"14420","Capital Claims Tax Depreciation","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Tax depreciation services"
"14646","Capital Clinic Physiotherapy","ACT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Physiotherapy clinic"
"14302","CapitalQ Business Advisers & Chartered Accountants","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Accountants and business advisers"
"6346","Capstone Insurance Brokers","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance brokers"
"15508","Car Detailing Darwin - Ceramic Coating & Paint Protection","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Car detailing, ceramic coating"
"2036","Car Mirror Replacements","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","car mirror automotive glass"
"7758","Care Assess - South","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","care assessment, likely healthcare"
"7178","Carers WA","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Carers non-profit"
"7230","Castledine Gregory Law & Mediation","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Legal mediation practice"
"14626","Catalyst Strength","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Strength training facility"
"8639","Catchlove Mechanical","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Heavy equipment mechanical repair"
"14652","CBR Cyber","ACT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Cyber security IT"
"9360","Cdrforaustralia","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","CDR report writing service"
"5765","Central Insurance Brokers","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance brokers"
"7187","Centre for Accessibility Australia","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Accessibility non-profit web design"
"14344","Centre for Association Management","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Association management body"
"15475","Ceramic Coat Australia","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Automotive ceramic coat"
"15455","Ceramic Paint Protection Brisbane","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Automotive ceramic paint protection"
"9934","Ceramic Pro Sydney","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Automotive ceramic coating"
"4613","Check2Protect","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Fingerprint biometric services"
"3219","CheckTender","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","low","CheckTender, tendering software"
"3190","Chief Trade Credit Insurance Pty Ltd","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","trade credit insurance"
"14647","Chinese Treatment Centre - Acupuncture Canberra","ACT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Acupuncture healthcare"
"7293","CHOICE Family Dispute Resolution & Mediation","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","family dispute resolution"
"4145","CHOOSEWELL HEALTH INSURANCE","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Health insurance"
"14411","Circle Green Community Legal","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Community legal centre"
"1210","City Of Perth - Town Hall","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","local government services"
"14236","City Physiotherapy Centre","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Physiotherapy centre"
"6362","City Rural Insurance Brokers","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance brokers"
"7168","City West Lotteries House","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Venue hire lotteries house"
"5021","Citycover (Aust) Pty Ltd","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Citycover insurance, not building"
"14900","Cj's Plastic Repairs","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Plastic repairs automotive"
"6645","Claremont Chainsaw and Mower Sales and Services","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Chainsaw mower retail repair"
"7535","Class 1 Orthodontics","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","orthodontics healthcare"
"14290","Clayton Consulting WA","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Grant and tender writing"
"14397","Clear Conflict Resolution","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Conflict resolution mediation"
"2253","CLEAR VISION INTERACTIVE","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Interactive media/IT firm"
"5151","Clifford Chance","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Law firm, not building"
"2729","Cliffside Cybersecurity","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Cybersecurity IT firm"
"14632","Coach Ella PT","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Personal training nutrition coaching"
"6010","Commercial Energy Solutions","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","low","commercial energy, not building"
"14361","Company Compliance & Advisory Services Australia","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Compliance advisory services"
"3197","Compare Insurance","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance comparison service"
"1592","Compass Insurance Brokers (TAS) Pty Ltd","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance brokers"
"9967","Competition Coatings QLD","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","low","Competition coatings likely automotive"
"3712","Computer Team Pty Ltd","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","computer IT company"
"5012","Comsure Insurance Brokers Pty Ltd","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance brokers"
"14496","Connect Communications Pty Ltd","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Two-way radio supplier"
"5394","Connections Nightclub","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Nightclub venue, hospitality"
"14351","Conservation Council of WA","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Conservation advocacy council"
"7021","Core Talent Perth","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Recruitment firm"
"7517","CorpCloud Pty Ltd","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","cloud IT services"
"7355","Corpred Enterprises Pty Ltd","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","tax depreciation schedules"
"2723","Corpsec Pty Ltd","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Corporate secretarial services"
"9423","Corrosion Solutions","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Marine vessel corrosion investigation"
"14292","COSOL | Perth Office","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Data asset management consulting"
"14355","Council on the Ageing Western Australia","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Ageing advocacy body"
"729","Council To Homeless Persons","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Homelessness charity organisation"
"14405","Cove Legal","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Commercial litigation law firm"
"503","Coverforce","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance broking"
"5760","Coverforce Leed Insurance Brokers","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance brokers"
"6356","Cowden (SA) Pty Ltd","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance services"
"5759","Cowden Limited","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance services firm"
"9342","CPR SafeInd","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Machinery guards safety products"
"16543","Crab Claw Island Resort","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Island resort hospitality"
"501","Craddock Murray Neumann","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Law firm"
"3193","CRISP (Community Insurance)","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","community insurance"
"504","CRM Brokers","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance broker"
"1076","Crucial Insurance","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance broker"
"7257","CSA Global Pty Ltd (Head Office)","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","General consultancy mining acquisitions"
"7507","CSE","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","business technology IT"
"7317","Curae Law","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","legal practice"
"8667","Custom Fiber Creations","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","low","Custom fibreglass unclear"
"8652","Custom Fibreglassing","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Fibreglass prototype services"
"14180","Customer Remediation Consulting","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Customer remediation, finance-related"
"9395","Cycle Zone Darwin","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Bicycle retailer workshop"
"4139","D.G.A. Insurance Brokers","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Insurance brokers"
"6858","Dane Larsen Exercise Physiologist","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Exercise physiologist healthcare"
"15507","Darwin Ceramic Coating Solutions","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Automotive ceramic coating"
"15516","Darwin Detailing & Tinting","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Car detailing and tinting"
"8787","Darwin fibreglass works","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","low","Fibreglass works unclear"
"6659","Datacall Telemetry Pty Ltd","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Telemetry/IT telemetry"
"1727","David Coli Consulting","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","business/IT management consultancy"
"1657","David Lee Depreciation","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","tax depreciation services"
"7318","DCH Legal Group","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","family lawyers"
"3343","Debtech Pty Ltd","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Debtech, debt collection/finance"
"10010","Deluxe Detailing and Paint Protection","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Car detailing"
"9357","Dematec","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Industrial automation technology"
"14903","Dent Tech Tas","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Automotive dent removal"
"8635","Dents-B-Gone","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Automotive dent repair"
"7636","Department of Fire and Emergency Services","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","government emergency services department"
"7199","Department of Planning, Lands and Heritage","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Government planning department"
"14502","Department of Telecommunications","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","Telecommunications department"
"1673","Depmax Brisbane","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","depreciation services Brisbane"
"2224","Deppro Pty Ltd","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Property tax depreciation firm"
"240","Depreciator","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Tax depreciation schedules"
"7866","Dermo Direct","NT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","online dermatology healthcare"
"11311","Diabetes Australia - NSW & ACT","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Diabetes advocacy organisation"
"15494","Diamond Detail","ACT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Diamond Detail, auto detailing"
"10001","Diamond Paint Protection","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Vehicle paint protection"
"14944","Digital promotions","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Digital marketing promotions"
"14417","Dimond Family Lawyers Perth","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Family law firm"
"1012","DMP Accountants","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","accountants / advisory"
"14618","DoDay Personal Training","TAS","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Personal training"
"4746","Dolce Vita Beauty & Massage","QLD","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Beauty and massage"
"14419","DPSK Lawyers","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Employment law firm"
"14642","Dream Australia Education Services","ACT","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Education consultancy"
"7569","DSGN Studio","WA","Other / General Services","__REMOVE__","REMOVE — out of scope","medium","creative design studio"
"6350","Dunn Insurance","SA","Other / General Services","__REMOVE__","REMOVE — out of scope","high","insurance company"
"3391","Dynamic HR","VIC","Other / General Services","__REMOVE__","REMOVE — out of scope","high","human resources firm"
"2221","E Tax Depreciation Schedules","NSW","Other / General Services","__REMOVE__","REMOVE — out of scope","high","Tax depreciation schedules"
